レース,year,着順,枠番,馬番,馬名,レース数,G1最高,G2最高,G3最高,性齢,斤量,騎手,タイム,上り,単勝,人気,馬体重,馬体重増減,東西,調教師,馬主
NHKM,2016,10,5,9,シャドウアプローチ,5,3,3,,牡3,57,ベリー,01:33.3,34.8,53.8,13,488,-6,西, 須貝尚介,飯塚知一
NHKM,2016,11,4,8,イモータル,4,9,2,,牡3,57,戸崎圭太,01:33.4,35.3,7.6,3,516,-4,西, 須貝尚介,金子真人ホールディングス
NHKM,2016,12,1,1,シュウジ,6,5,2,1,牡3,57,岩田康誠,01:33.4,35.4,27.8,8,494,0,西, 須貝尚介,安原浩司
NHKM,2016,13,1,2,エクラミレネール,8,,3,7,牝3,55,大野拓弥,01:33.4,35.2,138.2,16,432,-4,東, 高橋裕,岡田牧雄
NHKM,2016,14,8,16,カネノイロ,9,,,14,牡3,57,蛯名正義,01:33.5,34.6,234.1,17,448,-2,東, 佐藤吉勝,江川伸夫
NHKM,2016,15,6,11,ペルソナリテ,6,6,,4,牝3,55,柴田大知,01:33.6,34,259.2,18,404,4,東, 相沢郁,サラブレッドクラブ・ラフィアン
NHKM,2016,16,2,3,アーバンキッド,5,,,2,牡3,57,ボウマン,01:33.7,35.8,11.3,6,466,0,東, 斎藤誠,サンデーレーシング
NHKM,2016,17,3,6,ティソーナ,6,,,,牡3,57,Ｍ．デム,01:33.8,35.3,9.8,4,488,0,東, 藤沢和雄,キャロットファーム
NHKM,2016,18,7,13,シゲルノコギリザメ,10,,,3,牡3,57,松岡正海,01:35.4,37.6,89.7,14,476,-4,西, 谷潔,森中蕃
NHKM,2017,1,8,16,アエロリット,5,5,,2,牝3,55,横山典弘,01:32.3,34.3,5.8,2,478,-2,東, 菊沢隆徳,サンデーレーシング
NHKM,2017,2,7,14,リエノテソーロ,5,1,,1,牝3,55,吉田隼人,01:32.5,34,37.5,13,450,-4,東, 武井亮,了徳寺健二
NHKM,2017,3,3,6,ボンセルヴィーソ,7,3,2,2,牡3,57,松山弘平,01:32.9,35,14.4,6,462,-2,西, 池添学,名古屋友豊
NHKM,2017,4,7,15,レッドアンシェル,4,8,,2,牡3,57,福永祐一,01:32.9,34.2,14.5,7,442,-14,西, 庄野靖志,東京ホースレーシング
NHKM,2017,5,6,11,オールザゴー,7,,7,,牡3,57,内田博幸,01:33.0,34.4,57.1,16,480,6,西, 矢作芳人,サンデーレーシング
NHKM,2017,6,4,8,タイムトリップ,8,,5,3,牡3,57,戸崎圭太,01:33.0,34.6,19.7,10,478,-2,東, 菊川正達,中村祐子
NHKM,2017,7,6,12,ミスエルテ,4,4,,1,牝3,55,川田将雅,01:33.1,34.3,12.2,5,446,-4,西, 池江泰寿,サンデーレーシング
NHKM,2017,8,7,13,トラスト,9,,5,3,牡3,57,柴田大知,01:33.3,35.3,77.4,17,472,0,西, 中村均,岡田繁幸
NHKM,2017,9,1,1,モンドキャンノ,5,2,1,2,牡3,57,ルメール,01:33.3,35.1,6.3,3,472,-2,西, 安田隆行,ユアストーリー
NHKM,2017,10,5,10,ディバインコード,7,,2,3,牡3,57,柴田善臣,01:33.4,35.2,22.6,11,490,-2,東, 栗田博憲,ノルマンディーサラブレッドレーシング
